title,description,job_levels,languages,duration_minutes,test_type,is_remote,url,is_adaptive
Desktop Support (New),"multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",8,['K'],TRUE,https://www.shl.com/products/product-catalog/view/desktop-support-new/,FALSE
Universal Competency Framework Job profiling guide,"the shl universal competency framework establishes a common language for competencies that underpins shls products and services. it is a single underlying construct framework that provides a rational, consistent and practical basis for the purpose of understanding peoples behaviours at work and the likelihood of being able to succeed in a given role and in a given environment","['Director', ' Entry-Level', ' Executive', ' Front Line Manager', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['English International', ' Portuguese', '']",0,"['Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,FALSE
Data Entry (New),simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,"['Entry-Level', '']","['English (USA)', '']",4,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/data-entry-new/,FALSE
Paint Technology (New),"multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.","['Professional Individual Contributor', ' Graduate', ' Mid-Professional', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/paint-technology-new/,FALSE
Verify G+ - Ability Test Report,"the shl verify g ability test report provides the candidates overall general ability score alongside scores on numerical, deductive and inductive reasoning, using the comparison group selected by the user.",[''],[''],0,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,FALSE
Telecommunications Engineering (New),"multi-choice test that measures the knowledge of analog communication, digital communication, electromagnetism and microwave engineering.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,FALSE
Social Media (New),multi-choice test that measures the knowledge about the different social media platforms.,"['Entry-Level', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/social-media-new/,FALSE
Pediatrics (New),"multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",5,['K'],TRUE,https://www.shl.com/products/product-catalog/view/pediatrics-new/,FALSE
Sales Transformation 2.0 - Individual Contributor,this report draws insights from the opq. it provides an accurate and objective measure of a salespersons ability to sell well in a digital first environment. insights included in this report include individual scores and score narratives for the behaviours included in shls sales transformation behavioural model.,"['Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']",[''],0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,FALSE
Automata Data Science Pro (New),a simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"['Professional Individual Contributor', ' Mid-Professional', '']","['English (USA)', '']",60,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,FALSE
MFS 360 Enterprise Leadership Report,"the layout of this report follows the standard mfs 360 report but this is based on the enterprise leadership competency model, not the ucf model. the report text has been updated as well to reflect that.",[''],[''],0,['D'],TRUE,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,FALSE
Micro Focus Unified Functional Testing (New),multi-choice test that measures the knowledge of automation testing using the qtp tool.,"['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",12,['K'],TRUE,https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,FALSE
Verify Interactive Process Monitoring,"the shl verify range of ability tests is a suite of cognitive ability assessments appropriate for candidates at a wide range of job levels. the shl process monitoring assessment is designed for candidates in a wide range of industries where following processes, ensuring vigilance and maintaining machinery are important aspects of the job role. it measures candidates ability to respond in a timely manner to instrument feedback and monitor variations in a production process in order to maintain the process within specified safe control limits.","['Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",18,['Ability'],TRUE,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,FALSE
MS Office Basic Computer Literacy (New),"multi-choice test that measures the ability to use ms word, ms excel and ms powerpoint to perform basic tasks on a computer.","['Graduate', ' Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', ' Spanish', ' Portuguese (Brazil)', ' French', '']",7,['K'],TRUE,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,FALSE
AI Skills,the ai skills assessment measures the skills that help candidates successfully leverage ai in their work.,"['General Population', '']","['English (USA)', '']",16,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/ai-skills/,FALSE
OPQ Team Impact Selection Report,"these reports are based on the shl team impact model, which is focused on actual team processes. they are supported by clear and easy to understand graphics which do not require opq training.","['Director', ' Executive', ' Front Line Manager', ' General Population', ' Graduate', ' Manager', ' Mid-Professional', ' Professional Individual Contributor', ' Supervisor', '']","['Danish', ' Dutch', ' Finnish', ' Latin American Spanish', ' Norwegian', ' Swedish', ' English International', ' English (USA)', '']",0,['Personality'],TRUE,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,FALSE
SQL Server Integration Services (SSIS) (New),"multi-choice test that measures the knowledge of ssis architecture, components, control flow, data flow, transformation, sql server tasks, ssis administration, debugging, logging, security deployment, performance, package scheduling, execution and configuration.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",10,['K'],TRUE,https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,FALSE
